accR:,accP:,gyroR:,gyroP:,gyroY:,cfroll:,cfpitch:
-0.017233, -0.009462,0.031708, -0.003597, 0.008260, -0.011441, -0.005363
-0.012705, -0.015543,0.031175, -0.005462, 0.008260, -0.011488, -0.005445
-0.019553, -0.017477,0.031175, -0.008393, 0.009459, -0.011682, -0.005563
-0.007888, -0.016854,0.032241, -0.005462, 0.007327, -0.011628, -0.005662
-0.009477, -0.008462,0.028910, -0.008260, 0.007594, -0.011617, -0.005605
-0.006933, -0.007135,0.028644, -0.006262, 0.004130, -0.011548, -0.005523
-0.006760, -0.017643,0.031575, -0.005462, 0.009193, -0.011474, -0.005642
-0.003104, -0.010189,0.030109, -0.001865, 0.004796, -0.011314, -0.005615
-0.016679, -0.010399,0.030642, -0.005196, 0.009059, -0.011441, -0.005590
-0.011472, -0.012018,0.030775, -0.007327, 0.005995, -0.011471, -0.005598
-0.008865, -0.015565,0.031042, -0.005196, 0.010125, -0.011439, -0.005676
-0.007185, -0.010778,0.033440, -0.004796, 0.005329, -0.011373, -0.005647
-0.007711, -0.013257,0.026645, -0.008527, 0.003597, -0.011333, -0.005695
-0.007209, -0.015353,0.033307, -0.005729, 0.006928, -0.011273, -0.005757
-0.018182, -0.007678,0.028777, -0.004130, 0.008660, -0.011427, -0.005683
-0.018686, -0.007125,0.031841, -0.003730, 0.006262, -0.011587, -0.005587
-0.014527, -0.013585,0.032374, -0.004796, 0.008793, -0.011664, -0.005620
-0.010549, -0.018797,0.032641, -0.005462, 0.009992, -0.011664, -0.005756
-0.005815, -0.015552,0.030376, -0.005462, 0.009859, -0.011568, -0.005832
-0.015527, -0.003848,0.026512, -0.006928, 0.002931, -0.011674, -0.005689
-0.009792, -0.014586,0.032774, -0.005063, 0.010258, -0.011657, -0.005738
-0.011953, -0.009101,0.031841, -0.004796, 0.006395, -0.011681, -0.005681
-0.008849, -0.007903,0.031442, -0.003597, 0.009592, -0.011639, -0.005602
-0.011175, -0.008331,0.035438, -0.002798, 0.006128, -0.011640, -0.005518
-0.008423, -0.007884,0.028777, -0.006128, 0.006128, -0.011600, -0.005452
-0.010566, -0.010430,0.032108, -0.004263, 0.006528, -0.011596, -0.005426
-0.015204, -0.017308,0.033040, -0.002132, 0.010258, -0.011677, -0.005534
-0.008679, -0.016543,0.030109, -0.003730, 0.006395, -0.011631, -0.005636
-0.014827, -0.012690,0.030242, -0.006128, 0.007727, -0.011719, -0.005659
-0.009734, -0.008794,0.033440, -0.006928, 0.006928, -0.011707, -0.005590
-0.007277, -0.010916,0.031442, -0.003864, 0.008127, -0.011633, -0.005573
-0.011632, -0.011498,0.029576, -0.006661, 0.009326, -0.011659, -0.005576
-0.007937, -0.007327,0.030376, -0.005063, 0.009726, -0.011605, -0.005492
-0.005376, -0.010483,0.027844, -0.006661, 0.006395, -0.011506, -0.005483
-0.012489, -0.008101,0.028111, -0.004929, 0.008260, -0.011545, -0.005425
-0.004212, -0.014976,0.029843, -0.005063, 0.005462, -0.011418, -0.005499
-0.009101, -0.006588,0.029710, -0.004663, 0.005462, -0.011390, -0.005404
-0.016745, -0.000603,0.029443, -0.005462, 0.010392, -0.011519, -0.005193
-0.015738, -0.015535,0.033440, -0.003197, 0.007327, -0.011616, -0.005269
