accR,accP,gyroR,gyroP,gyroY,cfroll,cfpitch
-0.005760, -0.010301,0.020783, -0.005063, 0.016254, -0.010077, -0.004827
-0.005542, 0.000203,0.023048, -0.005462, 0.016254, -0.010008, -0.004636
-0.009412, -0.005823,0.021450, -0.005729, 0.015454, -0.010018, -0.004576
-0.012889, -0.011261,0.021450, -0.004929, 0.014522, -0.010095, -0.004625
-0.006331, -0.012324,0.023181, -0.008527, 0.016387, -0.010053, -0.004689
-0.011898, -0.001082,0.023048, -0.007461, 0.016254, -0.010119, -0.004526
-0.005303, -0.005975,0.020917, -0.005995, 0.016387, -0.010046, -0.004473
-0.008841, -0.015301,0.021716, -0.007994, 0.016254, -0.010054, -0.004605
-0.007341, -0.010671,0.025313, -0.006928, 0.018252, -0.010027, -0.004627
-0.010408, -0.013401,0.025446, -0.004929, 0.016120, -0.010053, -0.004702
-0.008056, -0.015230,0.024380, -0.005862, 0.015454, -0.010037, -0.004817
-0.007796, -0.010752,0.024380, -0.006395, 0.014921, -0.010017, -0.004840
-0.004606, -0.011379,0.022249, -0.008660, 0.017453, -0.009942, -0.004884
-0.007100, -0.014673,0.024514, -0.007594, 0.017186, -0.009915, -0.004984
-0.008004, -0.012846,0.022782, -0.007461, 0.014522, -0.009906, -0.005052
-0.011314, -0.008536,0.024380, -0.006395, 0.018519, -0.009960, -0.005026
-0.000612, -0.010881,0.021450, -0.004530, 0.015188, -0.009790, -0.005059
-0.007553, -0.007825,0.024647, -0.008926, 0.014255, -0.009781, -0.005017
-0.007514, -0.008936,0.020250, -0.007327, 0.016254, -0.009764, -0.005016
-0.004202, -0.016399,0.020384, -0.007061, 0.013589, -0.009681, -0.005164
-0.010394, -0.006454,0.022382, -0.007327, 0.019051, -0.009723, -0.005102
-0.006140, -0.004858,0.018652, -0.009859, 0.015188, -0.009690, -0.005024
-0.016362, -0.006993,0.018385, -0.003864, 0.020117, -0.009839, -0.004992
-0.006476, -0.010995,0.020783, -0.009059, 0.014921, -0.009807, -0.005030
-0.007277, -0.011320,0.023714, -0.007061, 0.017719, -0.009784, -0.005063
-0.003844, -0.011329,0.021982, -0.009726, 0.014921, -0.009704, -0.005102
-0.011199, -0.008809,0.024514, -0.003464, 0.012124, -0.009747, -0.005080
-0.002105, -0.011613,0.018252, -0.010392, 0.015987, -0.009635, -0.005139
-0.014181, -0.006415,0.022249, -0.007194, 0.015055, -0.009754, -0.005078
-0.011943, -0.002986,0.021316, -0.002531, 0.015055, -0.009808, -0.004952
-0.005568, -0.008962,0.018918, -0.007594, 0.016920, -0.009753, -0.004958
-0.011329, -0.012008,0.023581, -0.006395, 0.017719, -0.009809, -0.005007
-0.006914, -0.012540,0.023181, -0.005995, 0.014388, -0.009775, -0.005067
0.000478, -0.010174,0.019718, -0.004663, 0.014655, -0.009588, -0.005091
-0.011607, -0.008454,0.021982, -0.002931, 0.017586, -0.009640, -0.005073
-0.012066, -0.006643,0.020517, -0.008260, 0.014522, -0.009721, -0.005024
-0.011360, -0.004354,0.021849, -0.004263, 0.016254, -0.009771, -0.004924
-0.006393, -0.007005,0.017319, -0.008260, 0.016787, -0.009735, -0.004898
-0.002909, -0.012719,0.023448, -0.010658, 0.015721, -0.009641, -0.004963
-0.007345, -0.003740,0.020250, -0.007061, 0.014255, -0.009622, -0.004859
-0.015907, -0.009274,0.024647, -0.005063, 0.014122, -0.009768, -0.004851
-0.003634, -0.007335,0.021716, -0.007727, 0.015721, -0.009676, -0.004815
-0.014266, -0.009623,0.019984, -0.007727, 0.016254, -0.009798, -0.004833
-0.005014, -0.013685,0.021316, -0.008260, 0.015721, -0.009734, -0.004926
-0.002720, -0.012581,0.025446, -0.007594, 0.017719, -0.009624, -0.004980
-0.011920, -0.007992,0.022116, -0.005462, 0.015188, -0.009691, -0.004953
-0.007664, -0.014513,0.022515, -0.005995, 0.018652, -0.009674, -0.005056
-0.005613, -0.014854,0.020783, -0.005596, 0.013856, -0.009615, -0.005171
-0.003856, -0.006832,0.023848, -0.009326, 0.015454, -0.009536, -0.005110
-0.008508, -0.003403,0.021849, -0.004130, 0.018785, -0.009532, -0.004991
-0.009691, -0.009964,0.024380, -0.006661, 0.013856, -0.009561, -0.004995
-0.008609, -0.005084,0.018119, -0.007194, 0.016387, -0.009570, -0.004925
-0.012676, -0.015658,0.021716, -0.005862, 0.016653, -0.009655, -0.005055
-0.009219, -0.012201,0.021849, -0.001599, 0.014921, -0.009653, -0.005112
